Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,temper,Electric field,Rise rate
0.154,0.15411,0.22107,0.21381,0.63993,0.03506,0.36174,0.30111,0.20507,0.87403,0.31649,0.95088,1.079,0.36413,0.26797,0.19605,0.91334,0.22756,0.95875,1.47695,0.63646,0.60793,0.51375,0.39105,0.3249,0.21637,0.11155,0.42177,30.70623,0.02986,28
0.156,0.15434,0.22232,0.21499,0.64171,0.03601,0.36789,0.30515,0.20602,0.89644,0.31989,0.96156,1.07981,0.36804,0.26935,0.19801,0.92149,0.22818,0.95942,1.48241,0.63613,0.60997,0.51681,0.39409,0.32778,0.21861,0.11285,0.42725,30.67722,0.0298,28
0.158,0.15458,0.22356,0.21615,0.64352,0.03696,0.37393,0.30905,0.20696,0.91882,0.32328,0.97219,1.08062,0.37193,0.27067,0.19995,0.92957,0.22878,0.96004,1.48766,0.63574,0.61193,0.5198,0.39709,0.33063,0.22083,0.11415,0.43272,30.64837,0.02975,28
0.16,0.15483,0.22478,0.21729,0.64535,0.0379,0.37987,0.31281,0.20788,0.94114,0.32665,0.98275,1.08142,0.37581,0.27194,0.20188,0.93756,0.22938,0.96062,1.49272,0.6353,0.61381,0.52272,0.40004,0.33344,0.22303,0.11545,0.43819,30.61966,0.0297,28
0.162,0.15509,0.22598,0.21842,0.6472,0.03885,0.38569,0.31642,0.20879,0.96338,0.33,0.99326,1.08221,0.37966,0.27317,0.20379,0.94548,0.22996,0.96117,1.49757,0.6348,0.61562,0.52559,0.40294,0.33622,0.22522,0.11674,0.44366,30.59111,0.02964,28
0.164,0.15535,0.22716,0.21953,0.64908,0.03979,0.39139,0.31989,0.20968,0.98551,0.33334,1.0037,1.083,0.38349,0.27434,0.20569,0.95331,0.23054,0.96168,1.50224,0.63425,0.61735,0.52839,0.4058,0.33897,0.22739,0.11802,0.44914,30.56272,0.02958,28
0.166,0.15561,0.22832,0.22062,0.65098,0.04072,0.39696,0.3232,0.21055,1.0075,0.33666,1.01409,1.08378,0.3873,0.27547,0.20757,0.96106,0.23111,0.96216,1.50672,0.63365,0.61902,0.53112,0.40862,0.34168,0.22954,0.1193,0.45461,30.53448,0.02953,28
0.168,0.15588,0.22945,0.2217,0.6529,0.04165,0.4024,0.32635,0.21141,1.02932,0.33996,1.02441,1.08455,0.39109,0.27655,0.20943,0.96874,0.23167,0.9626,1.51102,0.63301,0.62061,0.5338,0.41139,0.34437,0.23167,0.12058,0.46008,30.50641,0.02947,28
0.17,0.15616,0.23056,0.22275,0.65484,0.04258,0.4077,0.32934,0.21224,1.05096,0.34324,1.03468,1.08532,0.39485,0.27759,0.21128,0.97633,0.23222,0.96302,1.51515,0.63233,0.62214,0.53642,0.41412,0.34702,0.23379,0.12185,0.46556,30.47851,0.02941,28
0.172,0.15644,0.23165,0.22378,0.6568,0.04349,0.41287,0.33218,0.21306,1.07238,0.34651,1.04488,1.08608,0.3986,0.27858,0.21311,0.98385,0.23277,0.96341,1.51911,0.6316,0.62361,0.53899,0.41681,0.34964,0.23589,0.12311,0.47103,30.45077,0.02935,28
