Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.492,0.22518,0.29887,0.2854,0.62783,0.06017,0.52531,0.20467,0.2755,0.98924,0.39534,1.29964,1.06424,0.45247,0.24913,0.29058,1.34632,0.24587,0.87319,1.58373,0.56124,0.64687,0.62686,0.52443,0.46075,0.32928,0.18019,0.71605,0.01369,20
0.495,0.22793,0.30196,0.2885,0.63152,0.06033,0.52755,0.20582,0.27859,0.99137,0.39506,1.29969,1.06423,0.45216,0.25045,0.29144,1.34883,0.24683,0.87675,1.58979,0.56295,0.64922,0.62914,0.52638,0.4624,0.33047,0.18087,0.71888,0.0135,20
0.498,0.23075,0.30513,0.29168,0.63523,0.06049,0.52978,0.20706,0.28175,0.99355,0.39475,1.29964,1.06422,0.45181,0.25179,0.29228,1.35127,0.24779,0.88036,1.59591,0.56469,0.6516,0.63142,0.52832,0.46403,0.33165,0.18153,0.72164,0.01331,20
0.501,0.23363,0.30836,0.29493,0.63895,0.06064,0.53199,0.20838,0.28498,0.99578,0.3944,1.29947,1.0642,0.45141,0.25315,0.2931,1.35365,0.24875,0.884,1.60208,0.56645,0.65399,0.6337,0.53026,0.46565,0.33281,0.18218,0.72433,0.01312,20
0.504,0.23657,0.31167,0.29826,0.64269,0.06078,0.5342,0.20979,0.28828,0.99807,0.39401,1.2992,1.06418,0.45098,0.25452,0.2939,1.35597,0.24971,0.88767,1.60831,0.56825,0.6564,0.63599,0.53219,0.46726,0.33395,0.18281,0.72694,0.01293,20
0.507,0.23959,0.31506,0.30167,0.64645,0.0609,0.53639,0.21127,0.29167,1.00039,0.39359,1.2988,1.06416,0.4505,0.25591,0.29468,1.35821,0.25068,0.89138,1.61458,0.57007,0.65883,0.63828,0.53412,0.46886,0.33508,0.18343,0.72948,0.01274,20
0.51,0.24267,0.31852,0.30516,0.65022,0.06103,0.53856,0.21284,0.29513,1.00275,0.39313,1.2983,1.06413,0.44999,0.25731,0.29545,1.36039,0.25165,0.89511,1.62091,0.57192,0.66128,0.64058,0.53603,0.47044,0.33618,0.18404,0.73194,0.01256,20
0.513,0.24583,0.32206,0.30872,0.65401,0.06114,0.54071,0.2145,0.29867,1.00514,0.39263,1.29767,1.0641,0.44943,0.25872,0.29619,1.36249,0.25263,0.89888,1.62728,0.5738,0.66374,0.64287,0.53794,0.472,0.33727,0.18463,0.73431,0.01237,20
0.516,0.24906,0.32569,0.31237,0.6578,0.06124,0.54285,0.21623,0.30229,1.00756,0.3921,1.29693,1.06406,0.44883,0.26015,0.29691,1.36452,0.2536,0.90268,1.6337,0.5757,0.66622,0.64516,0.53984,0.47355,0.33834,0.1852,0.7366,0.01218,20
0.519,0.25237,0.32939,0.3161,0.66161,0.06133,0.54496,0.21804,0.306,1.00999,0.39153,1.29607,1.06402,0.44819,0.26159,0.29761,1.36647,0.25458,0.9065,1.64017,0.57763,0.66872,0.64746,0.54172,0.47508,0.33939,0.18576,0.73881,0.012,20
0.522,0.25575,0.33318,0.31992,0.66542,0.06141,0.54705,0.21993,0.30979,1.01243,0.39093,1.29509,1.06398,0.44751,0.26304,0.29829,1.36835,0.25555,0.91036,1.64668,0.57959,0.67123,0.64975,0.5436,0.4766,0.34042,0.1863,0.74093,0.01181,20
0.525,0.25921,0.33705,0.32382,0.66924,0.06148,0.54912,0.2219,0.31367,1.01487,0.39029,1.29399,1.06393,0.44679,0.2645,0.29894,1.37015,0.25653,0.91423,1.65322,0.58158,0.67375,0.65204,0.54546,0.47809,0.34143,0.18683,0.74296,0.01163,20
0.528,0.26276,0.34101,0.32781,0.67306,0.06154,0.55116,0.22395,0.31764,1.01732,0.38961,1.29277,1.06388,0.44603,0.26597,0.29957,1.37186,0.25751,0.91814,1.65981,0.58359,0.67628,0.65432,0.5473,0.47956,0.34242,0.18734,0.7449,0.01144,20
0.531,0.26639,0.34506,0.3319,0.67688,0.06158,0.55317,0.22608,0.3217,1.01975,0.3889,1.29142,1.06382,0.44522,0.26745,0.30017,1.3735,0.25849,0.92206,1.66643,0.58563,0.67883,0.6566,0.54913,0.48102,0.34338,0.18783,0.74675,0.01126,20
0.534,0.27011,0.3492,0.33607,0.6807,0.06162,0.55515,0.22828,0.32585,1.02217,0.38815,1.28995,1.06375,0.44437,0.26894,0.30075,1.37505,0.25946,0.926,1.67308,0.58769,0.68138,0.65887,0.55095,0.48244,0.34432,0.1883,0.74849,0.01108,20
0.537,0.27392,0.35343,0.34034,0.68451,0.06164,0.5571,0.23056,0.3301,1.02457,0.38736,1.28835,1.06369,0.44348,0.27044,0.3013,1.37651,0.26044,0.92997,1.67976,0.58978,0.68395,0.66114,0.55274,0.48385,0.34523,0.18875,0.75014,0.01089,20
0.54,0.27782,0.35776,0.34471,0.68832,0.06166,0.55902,0.23291,0.33444,1.02694,0.38654,1.28663,1.06361,0.44255,0.27195,0.30183,1.37788,0.26141,0.93395,1.68648,0.59189,0.68652,0.66339,0.55452,0.48523,0.34612,0.18918,0.75169,0.01071,20
0.543,0.28181,0.36219,0.34918,0.69211,0.06166,0.5609,0.23535,0.33889,1.02927,0.38568,1.28477,1.06354,0.44158,0.27346,0.30233,1.37915,0.26238,0.93794,1.69321,0.59403,0.6891,0.66563,0.55628,0.48658,0.34698,0.1896,0.75313,0.01053,20
0.546,0.2859,0.36672,0.35375,0.6959,0.06164,0.56273,0.23785,0.34344,1.03156,0.38478,1.28279,1.06346,0.44056,0.27497,0.30279,1.38034,0.26335,0.94195,1.69997,0.59619,0.69169,0.66787,0.55801,0.48791,0.34781,0.18999,0.75447,0.01035,20
