Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.7848,0.007,0.03193,0.70687,0.04927,0.00384,0.12979,0.11906,0.70349,0.33797,0.11676,0.47728,1.02016,0.13572,0.18594,0.13798,0.75874,0.20024,0.67052,1.46729,0.6639,0.60056,0.48178,0.35008,0.27709,0.17109,0.07986,0.26875,0.42856,26
0.7884,0.00654,0.02984,0.69652,0.04859,0.00354,0.12108,0.11141,0.69328,0.3234,0.11333,0.46381,1.01962,0.13176,0.18181,0.13423,0.74087,0.19855,0.66676,1.44449,0.6596,0.59188,0.47256,0.34225,0.27042,0.1666,0.07763,0.2609,0.44309,26
0.792,0.00612,0.02788,0.68561,0.04792,0.00333,0.11289,0.10418,0.68252,0.30899,0.10989,0.45021,1.01908,0.12776,0.17753,0.13043,0.72261,0.1968,0.66255,1.42045,0.65476,0.5827,0.463,0.33419,0.26359,0.16204,0.07538,0.253,0.45742,26
0.7956,0.00573,0.02604,0.67421,0.04727,0.00322,0.10522,0.09735,0.67126,0.29476,0.10643,0.43648,1.01853,0.12375,0.17311,0.12658,0.70394,0.19498,0.65787,1.39516,0.64934,0.57301,0.45306,0.3259,0.2566,0.1574,0.0731,0.24504,0.47155,26
0.7992,0.00537,0.02432,0.66238,0.04669,0.00326,0.09805,0.09093,0.65957,0.28075,0.10294,0.42263,1.01797,0.11971,0.16855,0.12268,0.68487,0.1931,0.6527,1.36858,0.6433,0.56279,0.44277,0.31739,0.24945,0.15269,0.07079,0.23703,0.48545,26
0.8028,0.00504,0.02271,0.65017,0.04626,0.0035,0.09136,0.0849,0.6475,0.26699,0.09944,0.40866,1.0174,0.11564,0.16385,0.11874,0.6654,0.19115,0.647,1.3407,0.63662,0.55204,0.43211,0.30865,0.24215,0.1479,0.06847,0.22897,0.49913,26
0.8064,0.00472,0.02121,0.63763,0.04617,0.00404,0.08512,0.07925,0.6351,0.25353,0.09592,0.39458,1.01682,0.11156,0.15901,0.11474,0.64553,0.18913,0.64078,1.3115,0.62925,0.54073,0.42108,0.29969,0.2347,0.14304,0.06612,0.22087,0.51257,26
0.81,0.00443,0.01981,0.62482,0.04682,0.00504,0.07931,0.07396,0.62242,0.24038,0.09238,0.38039,1.01624,0.10745,0.15404,0.1107,0.62527,0.18703,0.634,1.28095,0.62116,0.52886,0.40968,0.29052,0.22709,0.13812,0.06374,0.21273,0.52576,26
0.8136,0.00416,0.01851,0.61179,0.04885,0.00674,0.07391,0.069,0.60951,0.22759,0.08882,0.36608,1.01565,0.10332,0.14895,0.10662,0.60462,0.18485,0.62665,1.24905,0.61228,0.51641,0.39791,0.28113,0.21935,0.13313,0.06135,0.20454,0.5387,26
0.8172,0.00391,0.0173,0.59857,0.05335,0.0095,0.06888,0.06436,0.59642,0.21518,0.08525,0.35168,1.01506,0.09917,0.14372,0.10249,0.58357,0.18259,0.61873,1.21578,0.60259,0.50337,0.38576,0.27153,0.21146,0.12808,0.05894,0.19632,0.55137,26
0.8208,0.00368,0.01617,0.58523,0.06198,0.01388,0.0642,0.05999,0.58319,0.20318,0.08166,0.33717,1.01445,0.095,0.13838,0.09833,0.56213,0.18023,0.61022,1.18112,0.59203,0.48972,0.37324,0.26172,0.20343,0.12297,0.05651,0.18807,0.56378,26
0.8244,0.00346,0.01513,0.57179,0.07707,0.02074,0.05983,0.05588,0.56987,0.19162,0.07805,0.32256,1.01384,0.09081,0.13292,0.09412,0.54031,0.17777,0.60114,1.14506,0.58055,0.47546,0.36035,0.25171,0.19528,0.1178,0.05407,0.17979,0.57593,26
0.828,0.00325,0.01416,0.55829,0.10156,0.0313,0.05574,0.052,0.55649,0.18053,0.07443,0.30787,1.01323,0.0866,0.12734,0.08988,0.51811,0.17518,0.59151,1.10759,0.56808,0.46056,0.34709,0.2415,0.18699,0.11258,0.05161,0.17148,0.5878,26
0.8316,0.00306,0.01326,0.54478,0.13872,0.04728,0.05189,0.04829,0.54308,0.16993,0.0708,0.29308,1.01261,0.08238,0.12166,0.08561,0.49553,0.17246,0.58134,1.0687,0.55458,0.44501,0.33344,0.2311,0.17858,0.10731,0.04913,0.16314,0.59939,26
0.8352,0.00288,0.01244,0.53129,0.19158,0.07093,0.04825,0.04473,0.52969,0.15984,0.06715,0.27821,1.01198,0.07814,0.11588,0.0813,0.47258,0.16959,0.57069,1.02838,0.53998,0.4288,0.31943,0.2205,0.17004,0.10199,0.04664,0.15478,0.61071,26
0.8388,0.00271,0.01168,0.51784,0.26203,0.10502,0.04476,0.04125,0.51633,0.15029,0.06349,0.26326,1.01135,0.07389,0.11,0.07696,0.44925,0.16653,0.55964,0.98663,0.52421,0.41191,0.30503,0.20971,0.16139,0.09662,0.04414,0.1464,0.62176,26
0.8424,0.00255,0.01097,0.50446,0.34989,0.15251,0.04136,0.03783,0.50305,0.1413,0.05982,0.24824,1.01071,0.06962,0.10402,0.07259,0.42555,0.16326,0.54829,0.94346,0.5072,0.39433,0.29027,0.19875,0.15263,0.09121,0.04162,0.13799,0.63253,26
0.846,0.00241,0.01031,0.49119,0.45217,0.21605,0.03798,0.03442,0.48986,0.13289,0.05613,0.23314,1.01006,0.06533,0.09795,0.06819,0.40149,0.15973,0.53679,0.89885,0.48887,0.37603,0.27512,0.1876,0.14377,0.08576,0.0391,0.12957,0.64303,26
0.8496,0.00227,0.00968,0.47804,0.56295,0.29708,0.03457,0.03099,0.47679,0.12508,0.05244,0.21797,1.00942,0.06103,0.09181,0.06376,0.37706,0.1559,0.52534,0.85281,0.46915,0.35699,0.2596,0.17628,0.1348,0.08027,0.03656,0.12113,0.65325,26
0.8532,0.00214,0.00907,0.46504,0.67414,0.39485,0.0311,0.02756,0.46386,0.11788,0.04873,0.20274,1.00877,0.05672,0.08558,0.05932,0.35228,0.1517,0.5142,0.80535,0.44794,0.33721,0.2437,0.16479,0.12573,0.07474,0.03401,0.11267,0.66321,26
0.8568,0.00201,0.00847,0.45219,0.77709,0.50554,0.02756,0.02418,0.45108,0.11131,0.04502,0.18745,1.00811,0.0524,0.07929,0.05484,0.32714,0.14707,0.50373,0.75647,0.42516,0.31664,0.22742,0.15314,0.11657,0.06918,0.03146,0.10419,0.6729,26
0.8604,0.0019,0.00789,0.43953,0.86449,0.62213,0.02403,0.02095,0.43848,0.10537,0.0413,0.17211,1.00745,0.04807,0.07292,0.05035,0.30165,0.14192,0.49439,0.7062,0.40071,0.29528,0.21076,0.14132,0.10732,0.06359,0.02889,0.0957,0.68233,26
0.864,0.00179,0.00733,0.42706,0.93199,0.7353,0.02065,0.01802,0.42606,0.10009,0.03756,0.15671,1.00678,0.04373,0.0665,0.04584,0.27581,0.13615,0.48677,0.65454,0.37448,0.27309,0.19372,0.12935,0.09798,0.05797,0.02632,0.08719,0.6915,26
0.8676,0.00169,0.00682,0.4148,0.97885,0.83542,0.01761,0.01551,0.41385,0.09546,0.03383,0.14127,1.00612,0.03938,0.06002,0.04131,0.24962,0.12962,0.48162,0.60151,0.34636,0.25005,0.17629,0.11722,0.08857,0.05232,0.02374,0.07867,0.70042,26
0.8712,0.0016,0.00638,0.40275,1.00751,0.91501,0.01507,0.01354,0.40184,0.0915,0.03008,0.12579,1.00545,0.03502,0.05349,0.03676,0.22308,0.12219,0.47944,0.54708,0.31625,0.22612,0.15847,0.10494,0.07908,0.04664,0.02116,0.07013,0.70909,26
0.8748,0.00151,0.00603,0.39093,1.02223,0.97075,0.01315,0.01212,0.39005,0.08819,0.02633,0.11027,1.00477,0.03066,0.04691,0.0322,0.19621,0.11367,0.47819,0.49098,0.28408,0.20128,0.14025,0.09249,0.06951,0.04094,0.01856,0.06157,0.7175,26
0.8784,0.00142,0.00576,0.37934,1.02759,1.00399,0.01184,0.01121,0.37849,0.08553,0.02258,0.09472,1.0041,0.02629,0.0403,0.02763,0.16902,0.10386,0.47389,0.43272,0.24983,0.17551,0.12161,0.07988,0.05987,0.03521,0.01596,0.05297,0.72567,26
0.882,0.00134,0.00556,0.36799,1.02735,1.0195,0.01105,0.01068,0.36715,0.0835,0.01882,0.07915,1.00342,0.02191,0.03365,0.02304,0.14152,0.09251,0.46172,0.37174,0.21349,0.1488,0.10255,0.0671,0.05014,0.02945,0.01334,0.04433,0.7336,26
0.8856,0.00127,0.00542,0.35688,1.02406,1.02334,0.01061,0.01041,0.35606,0.08209,0.01506,0.06354,1.00274,0.01753,0.02697,0.01845,0.11373,0.07933,0.43591,0.30741,0.17505,0.12111,0.08303,0.05412,0.04032,0.02365,0.01071,0.03564,0.74129,26
0.8892,0.0012,0.0053,0.34602,1.01914,1.0207,0.01038,0.01026,0.3452,0.08126,0.0113,0.04793,1.00206,0.01315,0.02027,0.01385,0.08567,0.06396,0.38926,0.23904,0.13448,0.09243,0.06305,0.04095,0.03041,0.01781,0.00807,0.02688,0.74875,26
0.8928,0.00113,0.0052,0.3354,1.01324,1.015,0.01023,0.01017,0.33459,0.08097,0.00753,0.03229,1.00137,0.00877,0.01356,0.00924,0.05735,0.04601,0.31231,0.16581,0.09179,0.06271,0.04257,0.02755,0.02039,0.01193,0.0054,0.01803,0.75597,26
0.8964,0.00107,0.0051,0.32503,1.00673,1.00789,0.01011,0.01009,0.32422,0.08117,0.00377,0.01665,1.00069,0.00439,0.00683,0.00462,0.02879,0.02493,0.19108,0.08672,0.04697,0.03192,0.02157,0.01391,0.01026,0.00599,0.00272,0.00908,0.76298,26
